,,,,,,,,,,
,Character Profiles Database,,,,,,,,,
,,,,,,,,,,
,Tên ,Tác phẩm,Tác giả,Image or illustration,Dòng bio ngắn,Quote nổi tiếng,Tính cách,Những mâu thuẫn về cảm xúc nếu có (e.g: thuý kiều phân vân giữa chữ hiếu và chữ tình),Bối cảnh xã hội,Câu hỏi challenge
,Chí Phèo,Chí Phèo,Nam Cao,"Hình ảnh một người đàn ông gầy gò, khuôn mặt đầy những vết sẹo chằng chịt, ánh mắt vừa hung dữ vừa man dại nhưng phảng phất nét bi kịch. Mặc bộ quần áo nâu sờn rách, tay đang cầm chai rượu, lảo đảo bước đi.",Trai làng Vũ Đại. Bề ngoài hổ báo nhưng bên trong đầy vết xước. Khao khát lớn nhất lúc này là được làm người lương thiện. Rất dễ rung động nếu được ai đó nấu cho một bát cháo hành.,"""Tao muốn làm người lương thiện! Ai cho tao lương thiện?""","- Trước khi ăn bát cháo hành: Hung hãn, liều lĩnh, manh động 
- Sau khi ăn bát cháo hành: Thức tỉnh, nhạy cảm, yếu đuối, khao khát tình yêu thương và sự bình yên.","Sự giằng xé tột độ giữa ""bản ngã quỷ dữ"" (do xã hội thối nát nhào nặn) và ""bản tính lương thiện"" (vốn có, bừng tỉnh sau khi gặp Thị Nở). Khao khát được hòa nhập với xã hội loài người nhưng lại bị chính xã hội ấy cự tuyệt.","Làng quê Việt Nam trước Cách mạng tháng Tám, với những mâu thuẫn giai cấp gay gắt. Một xã hội vô nhân đạo nơi cường hào ác bá (Bá Kiến) bóc lột, đẩy người nông dân lương thiện vào con đường bần cùng hóa, lưu manh hóa.","1. Nguyên nhân sâu xa nào đẩy Chí Phèo vào con đường lưu manh hóa?


2. Hương vị của ""bát cháo hành"" mang ý nghĩa biểu tượng gì đối với cuộc đời Chí?


3. Tại sao Chí Phèo lại xách dao đến nhà Bá Kiến thay vì đến nhà bà cô Thị Nở?


4. Tiếng chửi của Chí Phèo ở ngay đầu tác phẩm phản ánh tâm trạng gì của hắn?


5. Hình ảnh ""cái lò gạch cũ"" xuất hiện ở đầu và cuối tác phẩm mang ý nghĩa gì?"
,Mị,Vợ chồng A Phủ,Tô Hoài,"Một thiếu nữ người Mông với nét đẹp buồn rười rượi. Cô đang ngồi bó gối quay sợi bên tảng đá trước cửa sổ một căn buồng tối tăm, ánh mắt nhìn xa xăm ra ngoài núi rừng Tây Bắc.","Từng là top visual của Hồng Ngài, skill thổi sáo đỉnh tới mức trai bản nghe xong mất ngủ cả mùa xuân. Hiện đang mắc kẹt trong một toxic relationship do lore gia đình quá nặng. Mood hiện tại:đang hồi sinh ý chí sống, tìm một alpha male cùng đưa nhau đi trốn.”","""Mị trẻ lắm. Mị vẫn còn trẻ. Mị muốn đi chơi.""","- Bề ngoài: Cam chịu, nhẫn nhục, sống lùi lũi ""như con rùa nuôi trong xó cửa"".


- Bên trong: Có sức sống tiềm tàng vô cùng mãnh liệt, trái tim giàu tình thương và khát vọng tự do cháy bỏng.","Tình trạng tê liệt về cảm xúc (chấp nhận làm con trâu con ngựa cho nhà giàu) mâu thuẫn gay gắt với tuổi trẻ, khao khát sống, khao khát yêu đương trỗi dậy cuồng nhiệt (đặc biệt trong đêm tình mùa xuân). Nỗi sợ hãi cường quyền đấu tranh với lòng thương người (khi quyết định cắt dây cởi trói cho A Phủ).",Vùng núi Tây Bắc Việt Nam trước giải phóng. Một bối cảnh ngột ngạt nơi đồng bào dân tộc thiểu số bị áp bức tàn khốc cả về thể xác lẫn tinh thần bởi cường quyền (bọn chúa đất phong kiến như Pá Tra) và thần quyền (tục cúng trình ma).,"1. Vì lý do gì mà Mị lại trở thành con dâu gạt nợ cho nhà Thống lý Pá Tra?


2. Hình ảnh ""căn buồng Mị nằm"" với chiếc cửa sổ lỗ vuông bằng bàn tay tượng trưng cho điều gì?


3. Những yếu tố ngoại cảnh nào đã đánh thức sức sống của Mị trong đêm tình mùa xuân?


4. Chi tiết Mị nhìn thấy ""một dòng nước mắt lấp lánh bò xuống hai hõm má đã xám đen lại"" của A Phủ tạo ra bước ngoặt tâm lý gì?


5. Hành động cắt dây cởi trói cho A Phủ của Mị mang ý nghĩa nhân đạo như thế nào?"
,Xuân Tóc Đỏ,Số đỏ,Vũ Trọng Phụng,"Một thanh niên gầy nhẳng, mái tóc hung đỏ cháy nắng đặc trưng, da đen sạm. Mặc bộ vest tây kiểu cách lố lăng, áo sơ-mi cổ cồn, cà vạt sặc sỡ, tay xách vợt tennis. Vẻ mặt vênh váo, nửa cười nửa nhếch mép, đứng giữa background là khu phố Hà Nội thời Pháp thuộc với những tấm biển hiệu ""Âu hóa"", ""tân thời""","Khởi nghiệp từ nghề nhặt bóng quần vợt và bán thuốc lậu ở vỉa hè Hà Nội. Sau một loạt ""ăn may"" và miệng lưỡi giỏi, glow up thành ""đốc tờ Xuân"", ""anh hùng cứu quốc"", ""vĩ nhân"", ""giáo sư quần vợt"". Master class trong việc đu trend ""Âu hóa - văn minh - thể thao"". Châm ngôn sống: cứ nói bừa, xã hội thượng lưu sẽ tin.","""Thưa các ngài! Mẹ kiếp! Nước mẹ gì!""","Tinh ranh, láu cá, cơ hội chủ nghĩa. Vô học nhưng giỏi học mót, bắt chước. Mặt dày tuyệt đối, không biết xấu hổ. Có tài ""đọc vị"" sự ngu dốt và đạo đức giả của giới thượng lưu để leo lên đỉnh danh vọng. Bản chất tiểu nhân nhưng được khoác lên lớp vỏ ""vĩ nhân"" do chính xã hội đương thời tạo ra.","Khác với Chí Phèo hay Kiều, Xuân Tóc Đỏ là nhân vật trào phúng, gần như không có bi kịch nội tâm. Mâu thuẫn của nhân vật mang tính châm biếm xã hội: bản chất là kẻ vô lại lưu manh nhưng được xã hội tôn vinh thành thần tượng, thành ""vĩ nhân cứu quốc"". Sự mâu thuẫn lớn nhất nằm ở phía xã hội — không phải ở Xuân.","Xã hội thành thị Việt Nam thời Pháp thuộc thập niên 1930, đặc biệt là tầng lớp tư sản và thượng lưu Hà Nội đang đua nhau chạy theo phong trào ""Âu hóa"" rởm đời, ""vui vẻ trẻ trung"", ""cải cách xã hội"", ""thể thao"" mang tính hình thức. Một xã hội kệch cỡm nơi đạo đức truyền thống bị đảo lộn, đồng tiền và danh hão thao túng tất cả, các giá trị thật-giả lẫn lộn.","1. Vì sao một kẻ ma cà bông như Xuân Tóc Đỏ lại có thể leo lên đỉnh cao danh vọng trong xã hội thượng lưu Hà Nội?

2. Chương ""Hạnh phúc của một tang gia"" thể hiện nghệ thuật trào phúng của Vũ Trọng Phụng như thế nào?

3. Xuân Tóc Đỏ là sản phẩm hay là thủ phạm của xã hội đương thời? Hay là cả hai?

4. Tại sao tác giả lại để Xuân Tóc Đỏ ""thắng"" liên tục mà không bị trừng phạt?

5. Hình tượng ""đốc tờ Xuân"", ""vĩ nhân Xuân"" mỉa mai điều gì về phong trào ""Âu hóa"" thời bấy giờ?"
,Lục Vân Tiên,Lục Vân Tiên,Nguyễn Đình Chiểu,"Chàng nho sinh trẻ tuổi anh tuấn, mặc áo dài học trò màu xanh hoặc trắng, đầu chít khăn nho sĩ, đeo gươm/cầm gậy. Tư thế hành hiệp giữa rừng — vung gậy đánh bọn cướp Phong Lai, ánh mắt cương nghị, chính khí ngút trời. Phía sau xa có hình bóng kiệu của Kiều Nguyệt Nga.","Học trò gốc Đông Thành, văn võ song toàn, đỉnh kao nhân hậu. CV gồm: tay không đánh tan đảng cướp Phong Lai cứu Kiều Nguyệt Nga, đỗ thủ khoa, dẹp giặc Ô Qua. Plot twist giữa đường: bị mù vì khóc thương mẹ, bị vợ chưa cưới phụ bạc, bị bạn xấu hãm hại — nhưng vẫn giữ vững khí tiết. Chuẩn mực vàng cho ""nam chính cổ trang Nam Bộ"": trung-hiếu-tiết-nghĩa full combo.","""Nhớ câu kiến nghĩa bất vi / Làm người thế ấy cũng phi anh hùng.""
","Trượng nghĩa, hào hiệp, dũng cảm. Hiếu thảo bậc nhất (bỏ thi về chịu tang mẹ, khóc đến mù mắt). Trung quân, giữ lễ giáo nghiêm cẩn (từ chối Kiều Nguyệt Nga lạy tạ vì ""khoan khoan ngồi đó chớ ra / nàng là phận gái ta là phận trai""). Thủy chung, kiên định. Có phần ngây thơ, dễ tin người (bị Trịnh Hâm, Bùi Kiệm hãm hại nhiều lần).","Là nhân vật được xây dựng theo mô hình lý tưởng hóa nho gia nên ít có mâu thuẫn nội tâm phức tạp. Tuy nhiên có thể khai thác: giằng co giữa chữ HIẾU (về quê chịu tang mẹ, từ bỏ kỳ thi) và CHÍ LÀM TRAI/công danh; khoảnh khắc tuyệt vọng khi bị mù lòa và bị Võ Thể Loan phụ ước nhưng vẫn giữ vững khí tiết; mâu thuẫn giữa lòng tin vào con người và những lần liên tiếp bị bạn bè/người yêu phản bội (Trịnh Hâm đẩy xuống sông, Bùi Kiệm dụ dỗ).","Xã hội phong kiến Việt Nam giữa thế kỷ 19, đề cao đạo lý Nho giáo (trung-hiếu-tiết-nghĩa-lễ-trí-tín). Tác phẩm ra đời khi Nguyễn Đình Chiểu — một nhà nho yêu nước mù lòa — chứng kiến Nam Kỳ rơi vào tay thực dân Pháp. Ông sáng tác để cổ vũ đạo lý truyền thống, lòng yêu nước, niềm tin vào điều thiện trong thời loạn. Tác phẩm được nhân dân Nam Bộ truyền tụng qua hình thức ""kể thơ"", ""nói thơ Vân Tiên"".","1. Hành động đánh cướp cứu Kiều Nguyệt Nga thể hiện quan niệm ""nghĩa"" của Nguyễn Đình Chiểu như thế nào?
2. Vì sao Lục Vân Tiên từ chối cho Kiều Nguyệt Nga lạy tạ? Điều này phản ánh giá trị đạo đức nào?
3. Hình tượng Lục Vân Tiên là sự kết hợp giữa lý tưởng nho gia và mẫu người anh hùng dân gian Nam Bộ ra sao?
4. Bi kịch bị mù và bị Võ Thể Loan phụ bạc có ý nghĩa gì trong tổng thể tác phẩm?
5. Vì sao tác phẩm này được người dân Nam Bộ đặc biệt yêu thích đến mức tạo nên truyền thống ""nói thơ Vân Tiên""?"
,Thuý Kiều,Truyện Kiều,Nguyễn Du,"Một thiếu nữ sắc nước hương trời với ""khuôn trăng đầy đặn nét ngài nở nang"", ""làn thu thủy nét xuân sơn"". Mái tóc đen huyền dài mượt, mặc xiêm y cổ trang Trung Hoa thời Minh, dáng vẻ liễu yếu đào tơ. Đang ngồi gảy đàn nguyệt — cây đàn của định mệnh, ánh mắt u buồn xa xăm. Background có thể là lầu Ngưng Bích nhìn ra biển hoặc cảnh sông Tiền Đường.","Tiểu thư nhà viên ngoại họ Vương, top tier về cả nhan sắc lẫn tài năng (cầm-kỳ-thi-họa max stat). Vì gia biến mà phải bán mình chuộc cha, từ đó lưu lạc 15 năm qua hai lần thanh lâu, hai phen lấy chồng, một lần nhảy sông. Soulmate đời đầu là Kim Trọng nhưng số phận buộc đi đường vòng qua Thúc Sinh, Từ Hải. Final boss: vượt qua bể khổ để đoàn viên nhưng không còn ngây thơ như trước ","""Trăm năm trong cõi người ta / Chữ tài chữ mệnh khéo là ghét nhau.""","Tài sắc vẹn toàn, đa cảm, đa sầu đa mộng. Hiếu thảo (sẵn sàng bán mình chuộc cha). Thủy chung trong tình yêu (suốt 15 năm vẫn nhớ Kim Trọng). Khôn ngoan, sắc sảo, có ý thức sâu sắc về thân phận. Mạnh mẽ khi cần (theo Từ Hải báo ân báo oán) nhưng cũng dễ tuyệt vọng (nhảy sông Tiền Đường). Giàu lòng vị tha và bao dung.","Nhân vật có tâm lý phức tạp bậc nhất văn học Việt Nam:
- HIẾU vs TÌNH: Phải bán mình chuộc cha, hy sinh tình yêu với Kim Trọng, nhờ em gái Thúy Vân ""trao duyên"" thay mình.
- Khát vọng tự do vs Thân phận tài hoa bạc mệnh: Muốn sống là chính mình nhưng số phận và xã hội phong kiến không cho phép.
- Tình nghĩa với Từ Hải vs Mong cầu yên ổn: Yêu thương, khâm phục Từ Hải nhưng lại khuyên chàng hàng triều đình, gián tiếp gây ra cái chết của chàng — sau đó dằn vặt, ân hận tột độ.
- Lòng tự trọng vs Thực tại nhơ nhuốc: Hai lần rơi vào lầu xanh, ý thức rõ về sự ""tủi nhục"" nhưng không thể thoát ra.","Bối cảnh trong truyện là xã hội phong kiến Trung Hoa thời Minh, nhưng phản chiếu xã hội phong kiến Việt Nam cuối Lê đầu Nguyễn — thời kỳ rối ren, đồng tiền và quyền lực thao túng số phận con người. Một xã hội mà thân phận người phụ nữ bị xem nhẹ, ""tài hoa"" và ""hồng nhan"" đều bị vùi dập. Nguyễn Du viết Truyện Kiều với tấm lòng nhân đạo sâu sắc, cảm thương cho thân phận những con người tài sắc bị áp bức.","1. Vì sao Thúy Kiều quyết định bán mình chuộc cha thay vì chọn con đường khác? Hành động này phản ánh giá trị đạo đức nào?
2. Đoạn ""trao duyên"" cho Thúy Vân thể hiện bi kịch tinh thần của Kiều như thế nào?
3. Tâm trạng của Thúy Kiều ở lầu Ngưng Bích được Nguyễn Du khắc họa qua những hình ảnh thiên nhiên nào? (Bút pháp tả cảnh ngụ tình)
4. Vì sao Kiều khuyên Từ Hải hàng triều đình? Đây là hành động đúng hay sai? Phản ánh điều gì về tính cách Kiều?
5. ""Tài mệnh tương đố"" có phải là tư tưởng chủ đạo duy nhất của Nguyễn Du? Còn yếu tố nào khác chi phối số phận Kiều?
6. Vì sao Nguyễn Du lại để Kiều và Kim Trọng đoàn tụ nhưng ""đem tình cầm sắt đổi ra cầm kỳ""?"
,Lão Hạc,Lão Hạc,Nam Cao,"Ông lão nông dân gầy guộc, khăn nâu, áo vá, ôm cậu Vàng bên mảnh vườn và mái nhà tranh.","Ông lão nghèo cô độc, thương con và thương cậu Vàng, giữ lòng tự trọng đến tận cùng.","""Cậu Vàng đi đời rồi, ông giáo ạ!""","Hiền lành, lương thiện, tự trọng, thương con, cô độc.",Giằng xé giữa bản năng sống và quyết tâm không ăn vào mảnh vườn dành cho con.,"Làng quê nghèo trước Cách mạng tháng Tám, nơi người nông dân bị đói nghèo và định kiến bủa vây.","1. Vì sao lão Hạc không bán mảnh vườn dù rất nghèo?
2. Cậu Vàng có ý nghĩa gì với lão Hạc?
3. Sau khi bán cậu Vàng, tâm trạng lão Hạc ra sao?
4. Cái chết của lão Hạc làm nổi bật phẩm chất nào?
5. Vai trò của ông giáo trong truyện là gì?"
,Chị Dậu,Tắt đèn,Ngô Tất Tố,"Người phụ nữ nông dân áo nâu, khăn mỏ quạ, đứng chắn trước chồng ốm và nồi cháo trong mái nhà tranh.","Người vợ, người mẹ nghèo trong mùa sưu thuế, vừa nhẫn nhục cứu chồng con vừa có sức phản kháng dữ dội.","""Mày trói ngay chồng bà đi, bà cho mày xem!""","Tháo vát, thương chồng con, nhẫn nhục khi cần, quyết liệt khi bị dồn ép.",Giằng xé giữa chịu nhịn để sống qua mùa sưu và vùng lên khi phẩm giá gia đình bị chà đạp.,"Nông thôn Bắc Bộ thời Pháp thuộc, sưu thuế và bộ máy hào lý đẩy dân nghèo vào đường cùng.","1. Điều gì đẩy chị Dậu vào cảnh bán con và đàn chó?
2. Vì sao ban đầu chị Dậu van xin cai lệ?
3. Sự thay đổi đại từ xưng hô thể hiện điều gì?
4. Hành động đánh ngã cai lệ có ý nghĩa gì?
5. Chị Dậu tiêu biểu cho điều gì trong Tắt đèn?"
,Ông Sáu,Chiếc lược ngà,Nguyễn Quang Sáng,"Người lính Nam Bộ có vết thẹo, khăn rằn, ngồi trong căn cứ rừng và tỉ mẩn làm chiếc lược ngà.","Người cha, người lính xa con vì chiến tranh, dồn tình thương vào lời hứa làm chiếc lược ngà.","""Ba về! Ba mua cho con một cây lược nghe con!""","Nồng hậu, nóng lòng, vụng về trong biểu lộ tình cha, kiên trì và sâu nặng.",Khao khát được con nhận cha đối lập với vết thẹo và khoảng cách chiến tranh tạo ra.,"Nam Bộ thời kháng chiến, chiến tranh chia cắt gia đình và làm tổn thương tình phụ tử.","1. Vì sao bé Thu không nhận ông Sáu là cha?
2. Điều ông Sáu khao khát nhất khi về thăm nhà là gì?
3. Chiếc lược ngà biểu tượng cho điều gì?
4. Bi kịch của ông Sáu chủ yếu do đâu?
5. Trước khi hy sinh, ông Sáu trao chiếc lược cho bác Ba nhằm gì?"
,Ông Hai,Làng,Kim Lân,"Ông nông dân tản cư khăn nâu áo vải, ngồi ở quán nước, mặt sững sờ khi nghe tin làng Chợ Dầu.","Người nông dân yêu làng tha thiết, trải qua cú sốc tin làng theo Tây để nhận ra tình yêu nước lớn hơn tình làng.","""Làng thì yêu thật, nhưng làng theo Tây mất rồi thì phải thù.""","Hay khoe làng, chất phác, dễ xúc động, trung thành với kháng chiến và Cụ Hồ.",Tình yêu làng xung đột với lòng yêu nước khi nghe tin làng Chợ Dầu theo Tây.,"Những năm đầu kháng chiến chống Pháp, dân quê đi tản cư và sống bằng tin tức chiến khu.","1. Trước khi nghe tin dữ, ông Hai thường làm gì ở nơi tản cư?
2. Tin làng Chợ Dầu theo Tây gây tâm trạng gì?
3. Câu ""làng thì yêu thật..."" cho thấy điều gì?
4. Vì sao ông Hai vui khi khoe nhà mình bị Tây đốt?
5. Ông Hai tiêu biểu cho kiểu tình cảm nào?"
,Vũ Nương,Chuyện người con gái Nam Xương,Nguyễn Dữ,"Thiếu phụ áo tứ thân bên bến Hoàng Giang, phía xa là chiếc bóng đèn trên vách và bé Đản.","Người phụ nữ đẹp nết bị nghi oan bởi chiếc bóng, chọn sông Hoàng Giang để giữ danh tiết.","""Thiếp nếu đoan trang giữ tiết, trinh bạch gìn lòng...""","Thùy mị, nết na, thủy chung, hiếu thảo, tự trọng và đau đớn khi bị nghi oan.","Đức hạnh và lời thanh minh của nàng bị nam quyền, ghen tuông và định kiến phủ nhận.","Xã hội phong kiến và chiến tranh ly tán, nơi người phụ nữ ít quyền được tin và được tự bảo vệ.","1. Nguyên nhân trực tiếp khiến Vũ Nương bị nghi oan là gì?
2. Vũ Nương hiện lên với phẩm chất nào?
3. Bi kịch của Vũ Nương tố cáo điều gì?
4. Yếu tố truyền kỳ cuối truyện có tác dụng gì?
5. Chiếc bóng mang ý nghĩa biểu tượng gì?"
